,Title,Published_date,Views,Likes,Comments,Month
60,Lonavala me loot gaye 😨... | Lonavala Part 4 | Amar Mandal,2021-09-12,139,15,7,Sep
61,hotel highland me hua pangaa 😡... | Lonavala Part 3 | Amar Mandal,2021-09-10,156,14,3,Sep
62,yeh hum kaha aa gaye 😱 | Lonavala Part 2 | Amar Mandal,2021-09-08,162,26,10,Sep
63,kuch socha na samjha bas nikal gaye | Lonavala Part 1 | Amar Mandal,2021-09-04,96,17,3,Sep
64,bhaiya ne discount de diya | Amar Mandal,2021-09-01,102,30,9,Sep
65,been thinking of doing this for a long time | Amar Mandal,2021-08-29,73,15,4,Aug
66,what I do as a Data Scientist being a Mechanical Engineer | Amar Mandal,2021-08-22,546,37,12,Aug
67,AdaBoost - Boosting Technique Algorithm | Detailed Explanation | Amar Mandal,2021-06-13,407,14,0,Jun
68,Simple Triangle pattern using python #python #patterns,2021-06-09,57,8,0,Jun
69,Hyperparameter Tuning | Optuna | HyperOpt | GridSearchCV | RandomSearchCV | Amar Mandal,2021-06-08,886,33,5,Jun
70,Random Forest Theory | Practical Implementation | Amar Mandal,2021-06-01,62,10,0,Jun
71,How to visualise Decision Tree Graph using python #python #machinelearning,2021-05-29,177,9,1,May
72,How to Visualize Decision Tree Graph | Python Code | Amar Mandal,2021-05-28,195,9,0,May
73,How to remove Python Virtual Environment #python #machinelearning | Amar Mandal,2021-05-24,703,23,0,May
74,Bagging Technique | Bootstrap Aggregation | Python Example | Amar Mandal,2021-05-22,100,10,2,May
75,"Mathematics behind Decision Tree | Entropy, Information Gain & Gini Impurity | Amar Mandal",2021-05-18,107,10,0,May
76,Support Vector Machine | Kernel Trick | SVC & SVR Theory | Amar Mandal,2021-05-12,275,15,4,May
77,Naive Bayes Algorithm Theory | Practical implementation | Amar Mandal,2021-05-08,113,8,0,May
78,"K-NN Algorithm | Euclidean, Manhattan & Hamming Distance | Amar Mandal",2021-05-04,1203,21,0,May
79,Logistic Regression in depth intuition | Sigmoid Function | Confusion Matrix | Amar Mandal,2021-04-30,100,8,2,Apr
80,Things to remember while solving Regression Problem | Amar Mandal,2021-04-25,76,15,2,Apr
81,Multiple Linear Regression Theory | OLS | P - Value | Practical Example | Amar Mandal,2021-04-23,77,13,3,Apr
82,Linear Regression Theory with example | Interview revision | Amar Mandal,2021-04-21,132,18,3,Apr
83,Create Custom Machine Learning pipeline of your own | ML Pipeline Template | Amar Mandal,2021-04-19,151,17,1,Apr
84,Why virtual Environment is important for creating projects | Python | Amar Mandal,2021-04-17,169,29,4,Apr
